count,date,time,team,timestamp,seconds_after_start,success,person,treatment
71,2024-11-01,15:43:41.106,js,2024-11-01 15:43:41.106,521.106,True,,1.0
72,2024-11-01,15:43:48.898,js,2024-11-01 15:43:48.898,528.898,False,,1.0
73,2024-11-01,15:43:50.106,js,2024-11-01 15:43:50.106,530.106,True,,1.0
74,2024-11-01,15:44:09.992,js,2024-11-01 15:44:09.992,549.992,False,,1.0
75,2024-11-01,15:44:33.579,js,2024-11-01 15:44:33.579,573.579,True,,1.0
76,2024-11-01,15:44:34.012,js,2024-11-01 15:44:34.012,574.012,False,,1.0
77,2024-11-01,15:44:34.321,js,2024-11-01 15:44:34.321,574.321,False,,1.0
78,2024-11-01,15:44:52.108,js,2024-11-01 15:44:52.108,592.108,False,,1.0
79,2024-11-01,15:44:52.265,js,2024-11-01 15:44:52.265,592.265,False,,1.0
80,2024-11-01,15:45:53.486,js,2024-11-01 15:45:53.486,653.486,False,,0.0
81,2024-11-01,15:45:55.784,js,2024-11-01 15:45:55.784,655.784,False,,0.0
82,2024-11-01,15:45:56.022,js,2024-11-01 15:45:56.022,656.022,False,,0.0
83,2024-11-01,15:46:05.464,js,2024-11-01 15:46:05.464,665.464,False,,0.0
84,2024-11-01,15:46:21.157,js,2024-11-01 15:46:21.157,681.157,False,,0.0
85,2024-11-01,15:46:21.419,js,2024-11-01 15:46:21.419,681.419,False,,0.0
86,2024-11-01,15:46:21.727,js,2024-11-01 15:46:21.727,681.727,False,,0.0
87,2024-11-01,15:46:21.953,js,2024-11-01 15:46:21.953,681.953,False,,0.0
88,2024-11-01,15:46:22.278,js,2024-11-01 15:46:22.278,682.278,False,,0.0
89,2024-11-01,15:46:22.552,js,2024-11-01 15:46:22.552,682.552,False,,0.0
90,2024-11-01,15:46:22.994,js,2024-11-01 15:46:22.994,682.994,False,,0.0
91,2024-11-01,15:46:30.660,js,2024-11-01 15:46:30.660,690.66,False,,0.0
92,2024-11-01,15:46:35.308,js,2024-11-01 15:46:35.308,695.308,False,,0.0
93,2024-11-01,15:46:44.184,js,2024-11-01 15:46:44.184,704.184,False,,0.0
94,2024-11-01,15:46:44.841,js,2024-11-01 15:46:44.841,704.841,False,,0.0
95,2024-11-01,15:46:46.100,js,2024-11-01 15:46:46.100,706.1,False,,0.0
96,2024-11-01,15:46:59.395,js,2024-11-01 15:46:59.395,719.395,False,,0.0
97,2024-11-01,15:46:59.694,js,2024-11-01 15:46:59.694,719.694,False,,0.0
98,2024-11-01,15:47:05.777,js,2024-11-01 15:47:05.777,725.777,False,,0.0
99,2024-11-01,15:47:06.087,js,2024-11-01 15:47:06.087,726.087,False,,0.0
100,2024-11-01,15:47:08.687,js,2024-11-01 15:47:08.687,728.687,True,,0.0
101,2024-11-01,15:47:08.970,js,2024-11-01 15:47:08.970,728.97,False,,0.0
102,2024-11-01,15:47:20.952,js,2024-11-01 15:47:20.952,740.952,False,,0.0
103,2024-11-01,15:47:21.157,js,2024-11-01 15:47:21.157,741.157,False,,0.0
104,2024-11-01,15:47:21.348,js,2024-11-01 15:47:21.348,741.348,False,,0.0
105,2024-11-01,15:47:21.574,js,2024-11-01 15:47:21.574,741.574,False,,0.0
106,2024-11-01,15:47:21.797,js,2024-11-01 15:47:21.797,741.797,False,,0.0
107,2024-11-01,15:47:21.996,js,2024-11-01 15:47:21.996,741.996,True,,0.0
108,2024-11-01,15:47:32.949,js,2024-11-01 15:47:32.949,752.949,True,,0.0
109,2024-11-01,15:47:35.298,js,2024-11-01 15:47:35.298,755.298,False,,0.0
110,2024-11-01,15:47:35.514,js,2024-11-01 15:47:35.514,755.514,False,,0.0
111,2024-11-01,15:47:40.946,js,2024-11-01 15:47:40.946,760.946,True,,0.0
112,2024-11-01,15:47:50.449,js,2024-11-01 15:47:50.449,770.449,False,,0.0
113,2024-11-01,15:48:01.201,js,2024-11-01 15:48:01.201,781.201,True,,0.0
114,2024-11-01,15:48:01.476,js,2024-11-01 15:48:01.476,781.476,False,,0.0
115,2024-11-01,15:48:01.718,js,2024-11-01 15:48:01.718,781.718,False,,0.0
116,2024-11-01,15:48:25.461,js,2024-11-01 15:48:25.461,805.461,True,,0.0
117,2024-11-01,15:48:30.324,js,2024-11-01 15:48:30.324,810.324,False,,0.0
118,2024-11-01,15:48:40.235,js,2024-11-01 15:48:40.235,820.235,False,,0.0
119,2024-11-01,15:48:43.687,js,2024-11-01 15:48:43.687,823.687,False,,0.0
120,2024-11-01,15:48:50.550,js,2024-11-01 15:48:50.550,830.55,False,,0.0
121,2024-11-01,15:49:09.359,js,2024-11-01 15:49:09.359,849.359,False,,0.0
122,2024-11-01,15:49:09.585,js,2024-11-01 15:49:09.585,849.585,False,,0.0
123,2024-11-01,15:49:38.249,js,2024-11-01 15:49:38.249,878.249,False,,0.0
124,2024-11-01,15:49:38.644,js,2024-11-01 15:49:38.644,878.644,False,,0.0
125,2024-11-01,15:49:39.106,js,2024-11-01 15:49:39.106,879.106,False,,0.0
126,2024-11-01,15:49:39.520,js,2024-11-01 15:49:39.520,879.52,False,,0.0
127,2024-11-01,15:49:50.097,js,2024-11-01 15:49:50.097,890.097,False,,0.0
128,2024-11-01,15:49:50.967,js,2024-11-01 15:49:50.967,890.967,False,,0.0
129,2024-11-01,15:50:27.773,js,2024-11-01 15:50:27.773,927.773,False,,0.0
130,2024-11-01,15:50:34.003,js,2024-11-01 15:50:34.003,934.003,False,,0.0
131,2024-11-01,15:50:40.653,js,2024-11-01 15:50:40.653,940.653,False,,0.0
132,2024-11-01,15:50:40.917,js,2024-11-01 15:50:40.917,940.917,False,,0.0
133,2024-11-01,15:50:41.511,js,2024-11-01 15:50:41.511,941.511,False,,0.0
134,2024-11-01,15:50:41.778,js,2024-11-01 15:50:41.778,941.778,False,,0.0
135,2024-11-01,15:50:42.408,js,2024-11-01 15:50:42.408,942.408,False,,0.0
136,2024-11-01,15:50:42.717,js,2024-11-01 15:50:42.717,942.717,False,,0.0
137,2024-11-01,15:50:43.574,js,2024-11-01 15:50:43.574,943.574,False,,0.0
138,2024-11-01,15:50:50.754,js,2024-11-01 15:50:50.754,950.754,False,,0.0
139,2024-11-01,15:50:50.953,js,2024-11-01 15:50:50.953,950.953,False,,0.0
140,2024-11-01,15:50:51.187,js,2024-11-01 15:50:51.187,951.187,False,,0.0
141,2024-11-01,15:50:51.504,js,2024-11-01 15:50:51.504,951.504,False,,0.0
142,2024-11-01,15:50:56.641,js,2024-11-01 15:50:56.641,956.641,True,,0.0
143,2024-11-01,15:51:02.721,js,2024-11-01 15:51:02.721,962.721,False,,0.0
144,2024-11-01,15:51:02.968,js,2024-11-01 15:51:02.968,962.968,False,,0.0
145,2024-11-01,15:51:03.343,js,2024-11-01 15:51:03.343,963.343,False,,0.0
146,2024-11-01,15:51:03.621,js,2024-11-01 15:51:03.621,963.621,False,,0.0
147,2024-11-01,15:51:06.719,js,2024-11-01 15:51:06.719,966.719,True,,0.0
148,2024-11-01,15:51:07.353,js,2024-11-01 15:51:07.353,967.353,False,,0.0
149,2024-11-01,15:51:07.804,js,2024-11-01 15:51:07.804,967.804,False,,0.0
150,2024-11-01,15:51:24.519,js,2024-11-01 15:51:24.519,984.519,False,,0.0
151,2024-11-01,15:51:24.828,js,2024-11-01 15:51:24.828,984.828,False,,0.0
152,2024-11-01,15:51:25.323,js,2024-11-01 15:51:25.323,985.323,False,,0.0
153,2024-11-01,15:51:25.599,js,2024-11-01 15:51:25.599,985.599,False,,0.0
154,2024-11-01,15:51:28.024,js,2024-11-01 15:51:28.024,988.024,False,,0.0
155,2024-11-01,15:51:38.625,js,2024-11-01 15:51:38.625,998.625,True,,0.0
156,2024-11-01,15:51:38.940,js,2024-11-01 15:51:38.940,998.94,False,,0.0
157,2024-11-01,15:51:48.480,js,2024-11-01 15:51:48.480,1008.48,True,,0.0
158,2024-11-01,15:51:48.775,js,2024-11-01 15:51:48.775,1008.775,False,,0.0
159,2024-11-01,15:51:49.408,js,2024-11-01 15:51:49.408,1009.408,False,,0.0
160,2024-11-01,15:51:50.388,js,2024-11-01 15:51:50.388,1010.388,False,,0.0
161,2024-11-01,15:51:56.524,js,2024-11-01 15:51:56.524,1016.524,False,,0.0
162,2024-11-01,15:52:01.372,js,2024-11-01 15:52:01.372,1021.372,False,,0.0
163,2024-11-01,15:52:01.681,js,2024-11-01 15:52:01.681,1021.681,False,,0.0
164,2024-11-01,15:52:09.039,js,2024-11-01 15:52:09.039,1029.039,True,,0.0
165,2024-11-01,15:52:10.484,js,2024-11-01 15:52:10.484,1030.484,False,,0.0
166,2024-11-01,15:52:10.717,js,2024-11-01 15:52:10.717,1030.717,False,,0.0
167,2024-11-01,15:52:10.967,js,2024-11-01 15:52:10.967,1030.967,False,,0.0
168,2024-11-01,15:52:20.782,js,2024-11-01 15:52:20.782,1040.782,False,,0.0
169,2024-11-01,15:52:25.994,js,2024-11-01 15:52:25.994,1045.994,False,,0.0
170,2024-11-01,15:52:33.456,js,2024-11-01 15:52:33.456,1053.456,False,,0.0
171,2024-11-01,15:52:33.816,js,2024-11-01 15:52:33.816,1053.816,False,,0.0
172,2024-11-01,15:52:34.158,js,2024-11-01 15:52:34.158,1054.158,False,,0.0
173,2024-11-01,15:52:40.387,js,2024-11-01 15:52:40.387,1060.387,True,,0.0
174,2024-11-01,15:52:48.493,js,2024-11-01 15:52:48.493,1068.493,False,,0.0
175,2024-11-01,15:52:48.729,js,2024-11-01 15:52:48.729,1068.729,False,,0.0
176,2024-11-01,15:52:48.945,js,2024-11-01 15:52:48.945,1068.945,False,,0.0
177,2024-11-01,15:52:49.662,js,2024-11-01 15:52:49.662,1069.662,False,,0.0
178,2024-11-01,15:52:50.643,js,2024-11-01 15:52:50.643,1070.643,False,,0.0
179,2024-11-01,15:53:12.286,js,2024-11-01 15:53:12.286,1092.286,True,,0.0
180,2024-11-01,15:53:32.837,js,2024-11-01 15:53:32.837,1112.837,False,,0.0
181,2024-11-01,15:53:33.037,js,2024-11-01 15:53:33.037,1113.037,False,,0.0
182,2024-11-01,15:53:33.187,js,2024-11-01 15:53:33.187,1113.187,False,,0.0
183,2024-11-01,15:53:38.112,js,2024-11-01 15:53:38.112,1118.112,False,,0.0
184,2024-11-01,15:53:55.305,js,2024-11-01 15:53:55.305,1135.305,False,,0.0
185,2024-11-01,15:53:55.600,js,2024-11-01 15:53:55.600,1135.6,False,,0.0
186,2024-11-01,15:54:07.565,js,2024-11-01 15:54:07.565,1147.565,False,,0.0
187,2024-11-01,15:54:07.834,js,2024-11-01 15:54:07.834,1147.834,False,,0.0
188,2024-11-01,15:54:09.485,js,2024-11-01 15:54:09.485,1149.485,True,,0.0
189,2024-11-01,15:54:21.591,js,2024-11-01 15:54:21.591,1161.591,False,,0.0
190,2024-11-01,15:54:23.327,js,2024-11-01 15:54:23.327,1163.327,False,,0.0
191,2024-11-01,15:54:23.561,js,2024-11-01 15:54:23.561,1163.561,False,,0.0
192,2024-11-01,15:54:23.770,js,2024-11-01 15:54:23.770,1163.77,True,,0.0
193,2024-11-01,15:54:24.870,js,2024-11-01 15:54:24.870,1164.87,False,,0.0
194,2024-11-01,15:54:25.185,js,2024-11-01 15:54:25.185,1165.185,False,,0.0
195,2024-11-01,15:54:28.064,js,2024-11-01 15:54:28.064,1168.064,False,,0.0
196,2024-11-01,15:54:28.291,js,2024-11-01 15:54:28.291,1168.291,False,,0.0
197,2024-11-01,15:54:28.518,js,2024-11-01 15:54:28.518,1168.518,False,,0.0
198,2024-11-01,15:54:33.616,js,2024-11-01 15:54:33.616,1173.616,False,,0.0
199,2024-11-01,15:54:33.848,js,2024-11-01 15:54:33.848,1173.848,False,,0.0
200,2024-11-01,15:54:34.392,js,2024-11-01 15:54:34.392,1174.392,False,,0.0
201,2024-11-01,15:54:45.405,js,2024-11-01 15:54:45.405,1185.405,False,,0.0
202,2024-11-01,15:54:45.738,js,2024-11-01 15:54:45.738,1185.738,False,,0.0
203,2024-11-01,15:54:46.671,js,2024-11-01 15:54:46.671,1186.671,False,,0.0
204,2024-11-01,15:54:56.918,js,2024-11-01 15:54:56.918,1196.918,False,,0.0
205,2024-11-01,15:54:57.151,js,2024-11-01 15:54:57.151,1197.151,False,,0.0
206,2024-11-01,15:56:30.904,js,2024-11-01 15:56:30.904,1290.904,False,,1.0
207,2024-11-01,15:56:39.421,js,2024-11-01 15:56:39.421,1299.421,False,,1.0
208,2024-11-01,15:56:41.862,js,2024-11-01 15:56:41.862,1301.862,False,,1.0
209,2024-11-01,15:56:47.301,js,2024-11-01 15:56:47.301,1307.301,False,,1.0
210,2024-11-01,15:56:47.693,js,2024-11-01 15:56:47.693,1307.693,True,,1.0
211,2024-11-01,15:56:51.346,js,2024-11-01 15:56:51.346,1311.346,False,,1.0
212,2024-11-01,15:57:09.664,js,2024-11-01 15:57:09.664,1329.664,False,,1.0
213,2024-11-01,15:57:09.877,js,2024-11-01 15:57:09.877,1329.877,False,,1.0
214,2024-11-01,15:57:10.139,js,2024-11-01 15:57:10.139,1330.139,False,,1.0
215,2024-11-01,15:57:10.421,js,2024-11-01 15:57:10.421,1330.421,False,,1.0
216,2024-11-01,15:57:11.269,js,2024-11-01 15:57:11.269,1331.269,False,,1.0
217,2024-11-01,15:57:11.636,js,2024-11-01 15:57:11.636,1331.636,False,,1.0
218,2024-11-01,15:57:12.664,js,2024-11-01 15:57:12.664,1332.664,False,,1.0
219,2024-11-01,15:57:39.717,js,2024-11-01 15:57:39.717,1359.717,True,,1.0
220,2024-11-01,15:57:44.774,js,2024-11-01 15:57:44.774,1364.774,False,,1.0
221,2024-11-01,15:57:45.050,js,2024-11-01 15:57:45.050,1365.05,False,,1.0
222,2024-11-01,15:57:45.409,js,2024-11-01 15:57:45.409,1365.409,False,,1.0
223,2024-11-01,15:57:50.222,js,2024-11-01 15:57:50.222,1370.222,True,,1.0
224,2024-11-01,15:57:50.501,js,2024-11-01 15:57:50.501,1370.501,False,,1.0
225,2024-11-01,15:57:52.684,js,2024-11-01 15:57:52.684,1372.684,False,,1.0
226,2024-11-01,15:57:52.950,js,2024-11-01 15:57:52.950,1372.95,False,,1.0
227,2024-11-01,15:57:53.231,js,2024-11-01 15:57:53.231,1373.231,False,,1.0
228,2024-11-01,15:58:10.681,js,2024-11-01 15:58:10.681,1390.681,False,,1.0
229,2024-11-01,15:58:11.331,js,2024-11-01 15:58:11.331,1391.331,False,,1.0
230,2024-11-01,15:58:12.061,js,2024-11-01 15:58:12.061,1392.061,False,,1.0
231,2024-11-01,15:58:24.929,js,2024-11-01 15:58:24.929,1404.929,False,,1.0
232,2024-11-01,15:58:25.171,js,2024-11-01 15:58:25.171,1405.171,False,,1.0
233,2024-11-01,15:58:30.212,js,2024-11-01 15:58:30.212,1410.212,False,,1.0
234,2024-11-01,15:58:35.255,js,2024-11-01 15:58:35.255,1415.255,False,,1.0
235,2024-11-01,15:58:35.471,js,2024-11-01 15:58:35.471,1415.471,True,,1.0
236,2024-11-01,15:58:41.796,js,2024-11-01 15:58:41.796,1421.796,False,,1.0
237,2024-11-01,15:58:42.038,js,2024-11-01 15:58:42.038,1422.038,False,,1.0
238,2024-11-01,15:58:47.858,js,2024-11-01 15:58:47.858,1427.858,True,,1.0
