count,date,time,id1 80 
1,2024-11-01,15:37:35.327
2,2024-11-01,15:37:54.150
3,2024-11-01,15:40:20.702
4,2024-11-01,15:40:43.797
5,2024-11-01,15:41:12.119
6,2024-11-01,15:41:30.355
7,2024-11-01,15:41:50.623
8,2024-11-01,15:42:02.434
9,2024-11-01,15:42:58.311
10,2024-11-01,15:43:09.486
11,2024-11-01,15:43:26.259
12,2024-11-01,15:43:33.551
13,2024-11-01,15:43:39.714
14,2024-11-01,15:47:08.070
15,2024-11-01,15:47:22.715
16,2024-11-01,15:47:41.467
17,2024-11-01,15:47:56.225
18,2024-11-01,15:48:26.127
19,2024-11-01,15:50:54.601
20,2024-11-01,15:51:47.754
21,2024-11-01,15:52:40.983
22,2024-11-01,15:53:11.753
23,2024-11-01,15:54:11.898
24,2024-11-01,15:56:48.764
25,2024-11-01,15:58:35.921
26,2024-11-01,15:59:26.844
27,2024-11-01,15:59:27.003
28,2024-11-01,15:59:57.159
29,2024-11-01,16:00:18.761
30,2024-11-01,16:01:34.399
31,2024-11-01,16:01:49.649
32,2024-11-01,16:02:14.703
33,2024-11-01,16:03:39.692
34,2024-11-01,16:03:59.127
35,2024-11-01,16:04:01.235
36,2024-11-01,16:04:36.320
37,2024-11-01,16:05:04.546
38,2024-11-01,16:05:04.810
39,2024-11-01,16:11:36.821
40,2024-11-01,16:12:46.021
41,2024-11-01,16:15:48.297
42,2024-11-01,16:17:17.623
43,2024-11-01,16:17:30.434
44,2024-11-01,16:17:57.492
45,2024-11-01,16:19:11.907
46,2024-11-01,16:19:32.125
47,2024-11-01,16:19:50.934
48,2024-11-01,16:19:53.168
49,2024-11-01,16:22:35.342
50,2024-11-01,16:22:45.300
51,2024-11-01,16:23:37.705
52,2024-11-01,16:23:43.155
53,2024-11-01,16:24:01.974
54,2024-11-01,16:24:02.466
55,2024-11-01,16:24:30.284
56,2024-11-01,16:25:25.000
57,2024-11-01,16:26:55.919
58,2024-11-01,16:26:59.560
59,2024-11-01,16:27:49.231
60,2024-11-01,16:29:01.592
61,2024-11-01,16:33:30.303
62,2024-11-01,16:33:55.933
63,2024-11-01,16:34:30.099
64,2024-11-01,16:34:39.283
65,2024-11-01,16:37:06.087
66,2024-11-01,16:37:38.501
67,2024-11-01,16:38:32.101
68,2024-11-01,16:38:56.419
69,2024-11-01,16:45:20.909
70,2024-11-01,16:46:12.893
71,2024-11-01,16:46:52.691
72,2024-11-01,16:47:57.861
73,2024-11-01,16:48:08.853
74,2024-11-01,16:48:15.596
75,2024-11-01,16:48:33.076
76,2024-11-01,16:49:53.178
77,2024-11-01,16:51:58.759
78,2024-11-01,16:52:52.506
79,2024-11-01,16:54:43.164
80,2024-11-01,16:55:41.159
